Date,Open,High,Low,Close,Volume,Currency
2021-01-04,7761.8,7861.9,7661.6,7661.6,12509800,VND
2021-01-05,7511.4,7674.1,7461.3,7536.4,24575100,VND
2021-01-06,7724.2,7786.8,7436.3,7498.9,18216400,VND
2021-01-07,7561.5,7586.5,7361.2,7511.4,21759000,VND
2021-01-08,7636.6,7636.6,7361.2,7411.2,21797200,VND
2021-01-11,7411.2,7473.8,7073.2,7085.7,34802100,VND
2021-01-12,6985.6,7548.9,6935.5,7423.8,19393500,VND
2021-01-13,7423.8,7436.3,7198.4,7248.5,21575100,VND
2021-01-14,7261.0,7749.2,7110.8,7686.6,33117400,VND
2021-01-15,7749.2,7999.6,7686.6,7949.5,30027200,VND
2021-01-18,7949.5,7962.1,7636.6,7674.1,20664300,VND
2021-01-19,7636.6,7636.6,7148.3,7148.3,25123300,VND
2021-01-20,7173.4,7311.1,6660.1,7060.7,18720100,VND
2021-01-21,7236.0,7261.0,6935.5,7248.5,19160300,VND
2021-01-22,7223.5,7286.0,6960.5,6998.1,21147100,VND
2021-01-25,6772.8,7210.9,6722.7,6985.6,20954900,VND
2021-01-26,6935.5,6960.5,6509.9,6534.9,15027000,VND
2021-01-27,6259.5,6409.7,6084.2,6084.2,30043800,VND
2021-01-28,5658.6,5758.7,5658.6,5658.6,38301000,VND
2021-01-29,5283.0,6034.1,5283.0,5871.4,17936400,VND
2021-02-01,5858.9,6009.1,5470.8,5483.3,14905300,VND
2021-02-02,5483.3,5808.8,5333.1,5758.7,16497500,VND
2021-02-03,5934.0,6159.3,5883.9,6159.3,13822400,VND
2021-02-04,6259.5,6459.8,6159.3,6384.7,14702100,VND
2021-02-05,6409.7,6635.0,6372.2,6597.5,10499100,VND
2021-02-08,6647.6,6960.5,6146.8,6509.9,22608800,VND
2021-02-09,6597.5,6835.4,6409.7,6785.3,13900300,VND
2021-02-17,6960.5,7085.7,6872.9,7010.6,16664400,VND
2021-02-18,7010.6,7035.7,6860.4,6885.4,16587600,VND
2021-02-19,6760.2,7010.6,6760.2,6910.5,14897100,VND
2021-02-22,6935.5,6998.1,6797.8,6847.9,13936200,VND
2021-02-23,6847.9,7010.6,6735.2,6898.0,25782900,VND
2021-02-24,7060.7,7123.3,6785.3,6960.5,19527000,VND
2021-02-25,7010.6,7010.6,6860.4,6973.1,10476300,VND
2021-02-26,6810.3,6960.5,6785.3,6935.5,11741500,VND
2021-03-01,7035.7,7311.1,6935.5,7311.1,26559000,VND
2021-03-02,7461.3,7473.8,7160.9,7261.0,20674900,VND
2021-03-03,7210.9,7311.1,7160.9,7223.5,13633000,VND
2021-03-04,7236.0,7236.0,6760.2,6935.5,20094000,VND
2021-03-05,6872.9,6935.5,6710.2,6885.4,19608900,VND
2021-03-08,7135.8,7248.5,7060.7,7185.9,22838000,VND
2021-03-09,7110.8,7148.3,6885.4,7073.2,11087000,VND
2021-03-10,7048.2,7185.9,6948.0,7185.9,15800400,VND
2021-03-11,7311.1,7611.5,7223.5,7461.3,45097600,VND
2021-03-12,7461.3,7486.4,7248.5,7361.2,15114000,VND
2021-03-15,7361.2,7373.7,7261.0,7286.0,17869900,VND
2021-03-16,7286.0,7286.0,7023.1,7135.8,23839900,VND
2021-03-17,7123.3,7261.0,7073.2,7198.4,12417700,VND
2021-03-18,7311.1,7461.3,7273.5,7461.3,24425400,VND
2021-03-19,7536.4,7724.2,7511.4,7699.2,40928000,VND
2021-03-22,7711.7,7724.2,7561.5,7611.5,17687500,VND
2021-03-23,7548.9,7548.9,7298.6,7398.7,26786700,VND
2021-03-24,7160.9,7323.6,7010.6,7236.0,27681800,VND
2021-03-25,7236.0,7311.1,7060.7,7236.0,15108100,VND
2021-03-26,7098.3,7236.0,6860.4,7198.4,19834900,VND
2021-03-29,7261.0,7311.1,7210.9,7286.0,14706900,VND
2021-03-30,7361.2,7574.0,7273.5,7561.5,26808300,VND
2021-04-05,8312.6,8312.6,8012.1,8312.6,17860800,VND
2021-04-06,9138.8,9138.8,8312.6,8337.6,65158100,VND
2021-04-07,8337.6,8638.1,8162.4,8512.9,35165400,VND
2021-04-08,8537.9,9138.8,8512.9,8888.5,30502600,VND
2021-04-09,8888.5,9063.7,8763.3,8938.5,24246500,VND
2021-04-12,9065.5,9471.8,8963.9,9471.8,43849500,VND
2021-04-13,9471.8,9700.4,9167.1,9192.5,46892400,VND
2021-04-14,9192.5,9446.4,8963.9,9421.0,30702200,VND
2021-04-15,9344.8,9471.8,9040.1,9167.1,30733400,VND
2021-04-16,9167.1,9395.6,8760.8,9395.6,36377500,VND
2021-04-19,9421.0,9624.2,9217.9,9471.8,16685400,VND
2021-04-20,9522.6,9522.6,9141.7,9167.1,21072100,VND
2021-04-22,9167.1,9497.2,8887.8,8887.8,32180100,VND
2021-04-23,8887.8,9217.9,8837.0,9217.9,21296500,VND
2021-04-26,9167.1,9268.7,8837.0,8837.0,17864100,VND
2021-04-27,8760.8,9014.7,7973.6,8913.2,12739400,VND
2021-04-28,8913.2,9217.9,8862.4,9065.5,17361100,VND
2021-04-29,9065.5,9319.5,9065.5,9192.5,17955000,VND
2021-05-04,9141.7,9446.4,8633.8,9421.0,22334300,VND
2021-05-05,9421.0,10005.1,9192.5,9776.5,38854800,VND
2021-05-06,9776.5,9878.1,9598.8,9751.1,18583300,VND
2021-05-07,9725.8,10259.0,9624.2,10030.5,23548400,VND
2021-05-10,10030.5,10538.3,9903.5,10538.3,21516100,VND
2021-05-11,10563.7,10792.3,10284.4,10284.4,27832800,VND
2021-05-12,10284.4,10589.1,10081.3,10563.7,16583800,VND
2021-05-13,10563.7,10792.3,10386.0,10487.6,18363100,VND
2021-05-14,10487.6,10614.5,10284.4,10411.4,18651100,VND
2021-05-17,10411.4,10538.3,10284.4,10360.6,15196600,VND
2021-05-18,10411.4,10792.3,10309.8,10436.8,23652400,VND
2021-05-19,10487.6,10893.9,10411.4,10868.5,15716600,VND
2021-05-20,10868.5,11554.1,10817.7,11300.2,16518900,VND
2021-05-21,11300.2,11477.9,11020.8,11249.4,19562400,VND
2021-05-24,11249.4,11528.7,11097.0,11452.5,19186500,VND
2021-05-25,11452.5,11681.1,11274.8,11579.5,12436800,VND
2021-05-26,11579.5,11706.5,11477.9,11579.5,9357500,VND
2021-05-27,11579.5,11579.5,10919.3,11249.4,17646300,VND
2021-05-28,11249.4,11731.8,11173.2,11681.1,14520600,VND
2021-05-31,11681.1,12696.8,11681.1,12620.6,18620600,VND
2021-06-01,12671.4,12900.0,12315.9,12874.6,25444000,VND
2021-06-02,12874.6,14144.2,12620.6,14144.2,26551600,VND
2021-06-03,15490.1,15540.9,14220.4,15540.9,31381900,VND
2021-06-04,15617.1,16124.9,14982.2,15337.7,25362400,VND
2021-06-07,15337.7,15439.3,13966.5,14474.4,33876900,VND
2021-06-08,14474.4,14956.8,13306.3,13306.3,22677900,VND
2021-06-09,13306.3,14626.7,13052.3,14626.7,28635500,VND
2021-06-10,16107.7,16107.7,15174.5,15296.2,44764900,VND
2021-06-11,15296.2,16391.7,15093.3,16148.2,26645100,VND
2021-06-14,17608.9,17730.6,16148.2,17649.4,24041500,VND
2021-06-15,17649.4,18460.9,17081.4,18136.3,23633800,VND
2021-06-16,18136.3,18136.3,16959.7,17324.8,22132600,VND
2021-06-17,17040.8,17852.3,15823.6,17811.7,14123800,VND
2021-06-18,17811.7,18258.0,17446.6,17730.6,10752700,VND
2021-06-21,17730.6,17730.6,17040.8,17040.8,15339900,VND
2021-06-22,17040.8,17365.4,17040.8,17081.4,10754000,VND
2021-06-23,17203.1,17649.4,16838.0,17406.0,10593500,VND
2021-06-24,17446.6,17690.0,17122.0,17324.8,6579700,VND
2021-06-25,17324.8,18339.2,17243.7,18258.0,25888300,VND
2021-06-28,18258.0,18866.6,18258.0,18460.9,14759700,VND
2021-06-29,18501.5,18785.5,18055.2,18339.2,15085100,VND
2021-06-30,18339.2,18379.8,18014.6,18014.6,13699400,VND
2021-07-01,18258.0,18988.4,18014.6,18826.1,23392800,VND
2021-07-02,18907.2,20286.7,18785.5,19637.5,23408000,VND
2021-07-05,19637.5,19881.0,18826.1,19272.4,15866600,VND
2021-07-06,19272.4,19475.2,17365.4,17365.4,20341600,VND
2021-07-07,16959.7,18055.2,16797.4,18055.2,25415500,VND
2021-07-08,18258.0,18258.0,17527.7,17690.0,13881000,VND
2021-07-09,17771.2,17811.7,16594.5,16959.7,19469800,VND
2021-07-12,17040.8,17203.1,15296.2,15336.8,31114400,VND
2021-07-13,15336.8,16107.7,15336.8,16107.7,13760400,VND
2021-07-14,16188.8,16391.7,15417.9,15783.1,9343500,VND
2021-07-15,15701.9,17000.3,15499.0,16716.3,12465400,VND
2021-07-16,16716.3,16959.7,16513.4,16594.5,9961400,VND
2021-07-19,16472.8,16472.8,15296.2,15336.8,16826500,VND
2021-07-20,15377.3,16797.4,15093.3,16797.4,19992800,VND
2021-07-21,16797.4,17243.7,16513.4,16797.4,14628000,VND
2021-07-22,16797.4,17771.2,16554.0,17527.7,18497400,VND
2021-07-23,17527.7,17568.3,16919.1,16919.1,22783600,VND
2021-07-26,16432.2,17162.6,15296.2,17000.3,14656700,VND
2021-07-27,17040.8,18176.9,17040.8,17649.4,31348800,VND
2021-07-28,17527.7,17974.0,17527.7,17690.0,15341900,VND
2021-07-29,17771.2,18623.2,17771.2,18623.2,25183900,VND
2021-07-30,18623.2,18988.4,18379.8,18704.3,32536300,VND
2021-08-02,18704.3,18988.4,18379.8,18663.8,22857600,VND
2021-08-03,18663.8,20246.1,18542.1,20246.1,45946200,VND
2021-08-04,20246.1,20570.7,19962.1,20205.6,22472500,VND
2021-08-05,20205.6,20935.9,19921.6,20773.6,22878100,VND
2021-08-06,20773.6,20854.7,20327.3,20327.3,27396900,VND
2021-08-09,20327.3,21625.6,19881.0,21098.2,27274700,VND
2021-08-10,21138.8,21382.2,20651.9,20814.2,25454700,VND
2021-08-11,20814.2,20935.9,20286.7,20286.7,27206700,VND
2021-08-12,20246.1,20570.7,19881.0,20124.4,20584900,VND
2021-08-13,20002.7,20895.3,19962.1,20854.7,22049000,VND
2021-08-16,20854.7,21869.1,20854.7,21544.5,32007200,VND
2021-08-17,21503.9,21503.9,21017.0,21382.2,46692700,VND
2021-08-18,21625.6,22153.1,21179.3,21625.6,34756200,VND
2021-08-19,21706.8,22031.4,21463.3,21950.2,20673800,VND
2021-08-20,21950.2,22234.2,21098.2,21503.9,51749300,VND
2021-08-23,21503.9,22112.5,21179.3,21625.6,33574900,VND
2021-08-24,21625.6,21706.8,19597.0,20286.7,54823500,VND
2021-08-25,20083.8,20895.3,19718.7,20895.3,21890600,VND
2021-08-26,20814.2,20976.5,20286.7,20611.3,17569300,VND
2021-08-27,20570.7,20692.4,19921.6,20530.2,23277900,VND
2021-09-06,20814.2,21098.2,20246.1,20530.2,29929400,VND
2021-09-07,20692.4,21463.3,20692.4,21098.2,26150900,VND
2021-09-08,21585.1,21666.2,21098.2,21301.1,20829600,VND
2021-09-09,21098.2,21463.3,21098.2,21463.3,15633100,VND
2021-09-10,21585.1,22071.9,21422.8,21787.9,28284000,VND
2021-09-13,21747.3,22112.5,21301.1,21950.2,22921700,VND
